threshold,true_positives,false_positives,false_negatives,precision,recall,f1
0.9525,73507,560,78493,0.9924392779510444,0.4835986842105263,0.6503116332768604
0.955,71249,501,80751,0.9930174216027875,0.46874342105263156,0.6368625698324022
0.9575,68742,450,83258,0.9934963579604579,0.45225,0.6215595500741437
0.96,66168,398,85832,0.9940209716672175,0.4353157894736842,0.6054738614423104
0.9625,63512,349,88488,0.9945350057155384,0.4178421052631579,0.5884527543187514
0.965,60851,327,91149,0.9946549413187747,0.40033552631578945,0.5708938070532606
0.9675,57930,303,94070,0.9947967647210345,0.3811184210526316,0.5511028240095514
0.97,54620,279,97380,0.9949179402174902,0.3593421052631579,0.527987085486155
0.9725,51176,265,100824,0.9948484671759881,0.3366842105263158,0.5031040940616691
0.975,47647,247,104353,0.9948427778009772,0.3134671052631579,0.4767226630113961
0.9775,44140,225,107860,0.994928434576806,0.29039473684210526,0.4495709520535737
0.98,40302,183,111698,0.9954798073360503,0.26514473684210527,0.41875470815907734
0.9825,36224,93,115776,0.9974392157942561,0.2383157894736842,0.384713010508876
0.985,31845,10,120155,0.9996860775388479,0.20950657894736843,0.34641429387288897
0.9875,27103,0,124897,1.0,0.1783092105263158,0.30265266355114095
0.99,22005,0,129995,1.0,0.14476973684210526,0.25292376655843224
0.9925,16700,0,135300,1.0,0.10986842105263157,0.1979845880260818
0.995,11017,0,140983,1.0,0.07248026315789474,0.13516381727059143
0.9975,4906,0,147094,1.0,0.03227631578947369,0.06253425617885869
1.0,785,0,151215,1.0,0.005164473684210526,0.010275877867591715
